city	state_id	lat	lng
Naperville	IL	41.748	-88.1659
Harlingen	TX	26.1916	-97.6977
Tuscaloosa	AL	33.2348	-87.5268
Elkhart	IN	41.6916	-85.9627
Torrance	CA	33.8346	-118.3416
Binghamton	NY	42.1014	-75.9093
Houma	LA	29.58	-90.7059
Topeka	KS	39.0346	-95.6955
Roseville	CA	38.7703	-121.3196
Fairfield	CA	38.2583	-122.0335
Tyler	TX	32.3184	-95.3062
Fullerton	CA	33.8841	-117.9279
Pueblo	CO	38.2701	-104.6114
Athens	GA	33.9508	-83.3689
Santa_Maria	CA	34.9333	-120.4431
Surprise	AZ	33.6815	-112.4515
Charleston	WV	38.3484	-81.6322
Las_Cruces	NM	32.3265	-106.7893
Metairie	LA	29.9977	-90.178
Thornton	CO	39.9197	-104.9438
Olathe	KS	38.8833	-94.82
Carolina	PR	18.4054	-65.9792
Gainesville	GA	34.2902	-83.8294
West_Valley_City	UT	40.6886	-112.0123
Orange	CA	33.8038	-117.8218
Warren	MI	42.4934	-83.027
Pasadena	CA	34.1597	-118.139
Beaumont	TX	30.0849	-94.1451
Burlington	NC	36.076	-79.4685
Hampton	VA	37.0551	-76.363
Columbia	MO	38.9472	-92.3268
Yuma	AZ	32.5995	-114.5491
Elizabeth	NJ	40.6658	-74.1913
Racine	WI	42.7274	-87.8135
Greeley	CO	40.4152	-104.7706
Kent	WA	47.3887	-122.2128
Stamford	CT	41.1039	-73.5585
Odessa	TX	31.8801	-102.3448
Bloomington	IL	40.4757	-88.9703
Miramar	FL	25.9773	-80.3351
Grand_Junction	CO	39.0877	-108.5673
Sterling_Heights	MI	42.5809	-83.0305
Coral_Springs	FL	26.2702	-80.2591
Johnson_City	TN	36.3406	-82.3806
Carrollton	TX	32.989	-96.8999
Midland	TX	32.0243	-102.1147
Yakima	WA	46.5923	-120.5496
Bellingham	WA	48.7548	-122.469
Yuba_City	CA	39.1357	-121.6383
South_Lyon	MI	42.4614	-83.6526
Santa_Clara	CA	37.3646	-121.968
St._George	UT	37.0758	-113.5752
Fort_Smith	AR	35.3495	-94.3695
Simi_Valley	CA	34.2663	-118.749
Dover	DE	39.161	-75.5202
Norman	OK	35.2335	-97.3471
Abilene	TX	32.4543	-99.7384
Billings	MT	45.7891	-108.5526
Ponce	PR	18.0127	-66.6212
Lehigh_Acres	FL	26.612	-81.6388
St._Cloud	MN	45.534	-94.1718
Arecibo	PR	18.4491	-66.7387
Kenosha	WI	42.5865	-87.8773
Greenville	NC	35.5943	-77.376
Arvada	CO	39.832	-105.151
Pearland	TX	29.5581	-95.3218
Independence	MO	39.0871	-94.3501
Texas_City	TX	29.4154	-94.9682
Redding	CA	40.5698	-122.365
Lynchburg	VA	37.4003	-79.1909
Boulder	CO	40.0248	-105.2524
Iowa_City	IA	41.6559	-91.5303
Rochester	MN	44.0154	-92.478
Berkeley	CA	37.8722	-122.276
Waldorf	MD	38.6085	-76.9194
The_Villages	FL	28.9034	-81.9887
Duluth	MN	46.7756	-92.1393
East_Los_Angeles	CA	34.0326	-118.1691
Saginaw	MI	43.4199	-83.9501
Clovis	CA	36.8278	-119.683
Leominster	MA	42.5209	-71.7717
Round_Rock	TX	30.527	-97.6642
Monroe	LA	32.5185	-92.0774
Cambridge	MA	42.3759	-71.1185
Clearwater	FL	27.979	-82.7623
Seaside	CA	36.6224	-121.8199
West_Jordan	UT	40.6024	-112.0008
Richardson	TX	32.9716	-96.7093
West_Palm_Beach	FL	26.7469	-80.132
Temple	TX	31.1068	-97.3891
Burlington	VT	44.4876	-73.2316
Richmond	CA	37.9477	-122.3389
Westminster	CO	39.8837	-105.0624
Pottstown	PA	40.2508	-75.6445
Brandon	FL	27.9367	-82.3
Rock_Hill	SC	34.9415	-81.0241
Meridian	ID	43.6116	-116.3977
Coeur_d'Alene	ID	47.704	-116.7936
Carlsbad	CA	33.1246	-117.2834
Lowell	MA	42.6389	-71.3217
Waterloo	IA	42.4918	-92.3522
North_Charleston	SC	32.9067	-80.0722
Gilroy	CA	37.0046	-121.5854
Downey	CA	33.9379	-118.1311
Gresham	OR	45.5021	-122.4413
Elgin	IL	42.0383	-88.324
Utica	NY	43.0962	-75.2261
Broken_Arrow	OK	36.038	-95.7806
Costa_Mesa	CA	33.6667	-117.9135
Chico	CA	39.7578	-121.8161
Sioux_City	IA	42.4959	-96.3901
League_City	TX	29.4874	-95.1087
Miami_Gardens	FL	25.9433	-80.2426
Pompano_Beach	FL	26.2428	-80.1312
San_Buenaventura	CA	34.2741	-119.2314
Everett	WA	47.9525	-122.1669
El_Centro	CA	32.7865	-115.5595
Sugar_Land	TX	29.5935	-95.6358
El_Monte	CA	34.0739	-118.0291
Lewisville	TX	33.0454	-96.9815
West_Covina	CA	34.0555	-117.9113
Temecula	CA	33.4928	-117.1315
Bend	OR	44.0563	-121.3095
Salisbury	MD	38.3756	-75.5865
Jacksonville	NC	34.7289	-77.3941
Inglewood	CA	33.9566	-118.3444
Dearborn	MI	42.3127	-83.213
Centennial	CO	39.5926	-104.8673
Burbank	CA	34.1879	-118.3235
Sparks	NV	39.5736	-119.7161
Sandy_Springs	GA	33.9366	-84.3703
Bloomington	IN	39.1637	-86.5257
Logan	UT	41.7399	-111.8422
Kailua	HI	21.392	-157.7396
El_Cajon	CA	32.8017	-116.9604
Hillsboro	OR	45.5273	-122.936
South_Fulton	GA	33.6273	-84.58
Renton	WA	47.4784	-122.1918
Mandeville	LA	30.3751	-90.0904
San_Mateo	CA	37.5522	-122.3121
Columbia	MD	39.2004	-76.859
Daly_City	CA	37.6862	-122.4685
Davie	FL	26.0789	-80.287
Jurupa_Valley	CA	34.001	-117.4706
Brockton	MA	42.0821	-71.0242
Longmont	CO	40.1686	-105.1005
Rialto	CA	34.1175	-117.3892
San_Germ¨¢n	PR	18.0827	-67.046
Eau_Claire	WI	44.8197	-91.4948
Turlock	CA	37.5053	-120.8588
Norwalk	CA	33.9069	-118.0829
Highlands_Ranch	CO	39.5419	-104.9708
Allen	TX	33.1088	-96.6735
Wichita_Falls	TX	33.9072	-98.5291
Rio_Rancho	NM	35.2873	-106.6982
Vacaville	CA	38.3587	-121.9673
Spokane_Valley	WA	47.6626	-117.2346
Charlottesville	VA	38.0375	-78.4855
Idaho_Falls	ID	43.4871	-112.0362
Menifee	CA	33.6909	-117.1849
Lee's_Summit	MO	38.9171	-94.3816
Quincy	MA	42.2506	-71.0187
San_Angelo	TX	31.4424	-100.4504
Lynn	MA	42.4781	-70.9664
Holland	MI	42.7677	-86.0984
Federal_Way	WA	47.3091	-122.3358
Manteca	CA	37.7927	-121.2264
Lafayette	CO	39.9946	-105.0998
Santa_Fe	NM	35.6619	-105.9819
Hesperia	CA	34.3975	-117.3147
La_Crosse	WI	43.8241	-91.2268
Riverview	FL	27.8227	-82.3023
Kingsport	TN	36.5224	-82.5454
Edinburg	TX	26.3196	-98.1597
Vista	CA	33.1896	-117.2386
Bowling_Green	KY	36.9716	-86.4378
Carmel	IN	39.965	-86.146
Longview	TX	32.5193	-94.7622
Tracy	CA	37.7269	-121.4523
Prescott_Valley	AZ	34.598	-112.3185
Beaverton	OR	45.4779	-122.8168
Portsmouth	NH	43.058	-70.7826
Portsmouth	VA	36.8468	-76.354
Fishers	IN	39.9588	-85.9659
Orem	UT	40.2981	-111.6994
Sandy	UT	40.5709	-111.8506
Sunrise	FL	26.1547	-80.2997
San_Tan_Valley	AZ	33.1786	-111.5629
Compton	CA	33.893	-118.2274
Arden-Arcade	CA	38.6017	-121.3845
Hanford	CA	36.3274	-119.6549
Boca_Raton	FL	26.3752	-80.108
Middletown	OH	39.5033	-84.3659
Livonia	MI	42.3972	-83.3733
Carson	CA	33.8374	-118.2559
Lawrence	KS	38.9597	-95.2642
Slidell	LA	30.2887	-89.7828
Blacksburg	VA	37.23	-80.4279
San_Marcos	CA	33.135	-117.1743
Goodyear	AZ	33.2614	-112.3622
Edmond	OK	35.6689	-97.416
Mayag¨¹ez	PR	18.2003	-67.1397
